,2-idle-simple-per-,converged_iterations,total_time,min
la01,666.0,581.0,27.39136552810669,666.0
la06,926.0,530.0,30.688371896743774,926.0
la11,1222.0,446.0,45.50903058052063,1222.0
la16,1039.0,3347.0,257.78091740608215,1024.0
la21,1171.0,1559.0,210.39112663269043,1128.0
la22,986.0,2174.0,312.7754616737366,986.0
la23,1054.0,1046.0,140.59337186813354,1040.0
la24,1036.0,1604.0,217.04686975479126,1015.0
la25,1077.0,1793.0,248.4996612071991,1056.0
la26,1246.0,2192.0,393.14957666397095,1227.0
la27,1378.0,1652.0,286.65228939056396,1378.0
la28,1317.0,1664.0,287.5783004760742,1313.0
la29,1263.0,1922.0,346.08517694473267,1255.0
la30,1372.0,2198.0,397.0691149234772,1355.0
la31,1784.0,2069.0,534.8412322998047,1784.0
la32,1850.0,2282.0,575.7348549365997,1850.0
la33,1719.0,1961.0,479.81809258461,1719.0
la34,1750.0,2159.0,531.2105574607849,1748.0
la35,1888.0,1844.0,436.4243128299713,1888.0
la36,1400.0,1763.0,309.2072944641113,1371.0
la37,1542.0,1640.0,280.8868775367737,1527.0
la38,1354.0,1934.0,347.2169885635376,1338.0
la39,1363.0,2150.0,391.46079897880554,1360.0
la40,1322.0,1688.0,293.25945949554443,1307.0
ta21,1888.0,3164.0,975.9492270946503,1856.0
ta22,1755.0,2072.0,597.3109736442566,1746.0
ta31,1956.0,2393.0,826.4552001953125,1949.0
ta32,1985.0,2882.0,1026.9860157966614,1985.0
ta41,2388.0,2870.0,1309.5440649986267,2357.0
ta42,2191.0,2306.0,1024.2510454654694,2167.0
ta51,3132.0,5357.0,3600.8087594509125,3052.0
ta52,2916.0,4076.0,2653.535634279251,2908.0
ta61,3123.0,4136.0,3555.5278403759003,3080.0
ta62,3178.0,4184.0,3600.4441859722137,3160.0
ta71,5713.0,1319.0,3605.5682747364044,5663.0
ta72,5283.0,1298.0,3606.1397659778595,5257.0
