,simple6-1-idle-per-new,converge_cnt,total_time,min_make_span
la01,666.0,539.0,26.521103620529175,666.0
la06,926.0,164.0,10.610629796981812,926.0
la11,1222.0,806.0,65.91576075553894,1222.0
la16,1041.0,563.0,43.00202417373657,1012.0
la21,1139.0,1535.0,165.36585903167725,1139.0
la22,1010.0,1571.0,170.54300785064697,996.0
la23,1038.0,1727.0,189.746648311615,1032.0
la24,1007.0,1040.0,111.12388610839844,1007.0
la25,1063.0,1685.0,187.47573232650757,1045.0
la26,1293.0,1523.0,210.77644157409668,1279.0
la27,1342.0,2066.0,303.1165511608124,1342.0
la28,1296.0,1994.0,289.49197912216187,1290.0
la29,1283.0,2399.0,363.00741934776306,1283.0
la30,1411.0,2087.0,305.99385833740234,1386.0
la31,1784.0,2177.0,480.83039474487305,1784.0
la32,1850.0,2294.0,510.86632680892944,1850.0
la33,1719.0,2627.0,593.9290301799774,1719.0
la34,1721.0,2225.0,491.6334753036499,1721.0
la35,1898.0,2888.0,662.5415494441986,1897.0
la36,1381.0,1019.0,153.62824034690857,1381.0
la37,1468.0,1739.0,266.507435798645,1468.0
la38,1345.0,1556.0,234.56887912750244,1345.0
la39,1340.0,848.0,125.17232513427734,1338.0
la40,1307.0,1688.0,256.2059769630432,1298.0
ta21,1877.0,2366.0,642.5294408798218,1858.0
ta22,1756.0,2204.0,591.1374423503876,1753.0
ta31,1932.0,2783.0,914.0053360462189,1931.0
ta32,2021.0,2897.0,953.4686903953552,2008.0
ta41,2369.0,4232.0,1888.3969531059265,2359.0
ta42,2212.0,3965.0,1764.1662573814392,2212.0
ta51,3204.0,5372.0,3600.4065175056458,3169.0
ta52,2882.0,5420.0,3601.343013525009,2882.0
ta61,3128.0,4085.0,3601.987289905548,3080.0
ta62,3193.0,4103.0,3602.454043149948,3158.0
ta71,5714.0,1682.0,3603.9540326595306,5673.0
ta72,5305.0,1667.0,3601.3839259147644,5260.0
