,spp3-Tanh,converge_cnt,total_time,no_op
la21,1125.0,7099.0,1884.4391391277313,0.0
la22,1050.0,2934.0,777.0450603961945,0.0
la23,1046.0,4654.0,1233.4750797748566,0.0
la24,1016.0,4319.0,1147.2365868091583,0.0
la25,1032.0,3574.0,954.2224655151367,0.0
la26,1240.0,7139.0,2961.0215742588043,0.0
la27,1350.0,8679.0,3600.491334438324,0.0
la28,1343.0,6509.0,2688.7602937221527,0.0
la29,1284.0,5484.0,2275.0859916210175,0.0
la30,1406.0,8654.0,3600.0824472904205,0.0
la31,1784.0,4404.0,3602.646594762802,0.0
la32,1850.0,4399.0,3604.049844264984,0.0
la33,1719.0,4399.0,3600.4285221099854,0.0
la34,1721.0,4414.0,3603.1192977428436,0.0
la35,1901.0,4494.0,3603.014872312546,0.0
la36,1380.0,6674.0,3154.0007662773132,0.0
la37,1534.0,3199.0,1516.4886236190796,0.0
la38,1338.0,6104.0,2884.1500408649445,0.0
la39,1299.0,6974.0,3306.3914461135864,0.0
la40,1349.0,6559.0,3102.6031455993652,0.0
ta21,1854.0,2909.0,3602.773257493973,0.0
ta22,1800.0,2919.0,3602.2686145305634,0.0
ta31,2031.0,2359.0,3604.447211265564,0.0
ta32,2119.0,2364.0,3600.5172872543335,0.0
ta41,2399.0,1424.0,3606.2508676052094,0.0
ta42,2292.0,1419.0,3609.903797388077,0.0
ta51,3005.0,944.0,3600.779546737671,0.0
ta52,3062.0,944.0,3605.835036754608,0.0
